"City","Month","Date","Minimum.Temperature","Maximum.Temperature","Rainfall.mm","Evaporation.mm","Sunshine.Hours","9am.Temperature","9am.Relative.Humidity","9am.Cloud.Amount.oktas","3pm.Temperature","3pm.Relative.Humidity","3pm.Cloud.Amount.oktas"
"Melbourne","Jan",2014-01-13,15.2,31.1,0,6.4,11.6,18.4,71,NA,27.5,50,NA
"Sydney","Jan",2014-01-13,19.7,26.8,0,7.6,11.5,21.9,66,6,24.7,53,2
"Adelaide","Jan",2014-01-13,22.1,42.1,0,27.4,13.4,28.7,42,NA,41.1,9,NA
"Brisbane","Jan",2014-01-13,19.5,29.6,0,8.4,13.2,25.9,58,4,28.2,51,1
"Perth","Jan",2014-01-13,20.9,27.8,0,13.2,9.4,23.5,67,7,25.3,51,4
"Melbourne","Jan",2014-01-14,18.3,42.8,0,10.2,12.4,31.1,31,0,41.1,15,NA
"Sydney","Jan",2014-01-14,18.3,27.5,0,7.2,12,22.8,59,4,26.2,53,0
"Adelaide","Jan",2014-01-14,25.3,45.1,0,10.2,7.4,38.6,11,NA,43.2,11,NA
"Brisbane","Jan",2014-01-14,20.4,30.2,0,9.2,12.7,27.3,49,4,27.1,55,4
"Perth","Jan",2014-01-14,15,26.7,0,10.2,13.1,21.7,50,0,25,44,0
"Melbourne","Jan",2014-01-15,28.6,41.7,0,22.8,8.6,35.2,25,6,37.8,21,NA
"Sydney","Jan",2014-01-15,21.2,28.8,0,10,12.8,25.6,62,0,28.2,53,1
"Adelaide","Jan",2014-01-15,27.1,43.7,0,9.8,6.6,34.9,21,NA,42.3,12,NA
"Brisbane","Jan",2014-01-15,19.1,30.4,0,8.6,12.2,27.4,56,3,28.4,49,2
"Perth","Jan",2014-01-15,16.1,25.6,0,9.4,12.4,23.4,53,2,24.3,49,3
"Melbourne","Jan",2014-01-16,27,43.9,0,13,9.1,31.8,35,1,43.2,16,NA
"Sydney","Jan",2014-01-16,21.1,28.1,0,10.8,13.1,25.3,64,0,27.3,58,0
"Adelaide","Jan",2014-01-16,29.9,44.2,0,11.4,13.3,37.4,16,NA,44,10,NA
"Brisbane","Jan",2014-01-16,20.2,30.6,0,9.8,11.8,27.9,53,3,29.7,49,2
"Perth","Jan",2014-01-16,18.7,25.6,0.2,9.6,13,22.7,51,4,23.7,46,1
"Melbourne","Jan",2014-01-17,25.6,43.9,1.2,17.4,10.2,34.5,14,1,42.3,11,NA
"Sydney","Jan",2014-01-17,21.3,27.7,0,10.4,12.8,24.2,67,2,27.2,57,0
"Adelaide","Jan",2014-01-17,28.3,42.7,0,12.2,11,36.1,12,NA,41.1,15,NA
"Brisbane","Jan",2014-01-17,20.8,30.8,0.2,10.4,12.2,26.5,55,3,28.8,47,1
"Perth","Jan",2014-01-17,15.8,31.6,0,10,13.1,22.2,50,0,28,44,0
"Melbourne","Jan",2014-01-18,21.5,24,NA,16,3.4,22.4,68,NA,21.6,64,NA
"Sydney","Jan",2014-01-18,19.3,28.7,0,10.6,13.1,25.1,65,0,28.3,51,0
"Adelaide","Jan",2014-01-18,21.4,30.8,1.6,NA,12.6,23.5,68,NA,29.8,41,NA
"Brisbane","Jan",2014-01-18,20.1,30.4,0,9.6,11.4,27.3,54,4,29.8,44,2
"Perth","Jan",2014-01-18,15.5,37.1,0,9.4,13.2,28,35,0,35.3,25,0
"Melbourne","Jan",2014-01-19,16.2,22.8,NA,6.6,8.9,17.2,61,NA,21.7,55,NA
"Sydney","Jan",2014-01-19,21.2,29.4,0,10.8,6.1,24.9,65,7,26.4,60,6
"Adelaide","Jan",2014-01-19,16.7,28.8,0,NA,13.1,19.9,49,NA,27.7,28,NA
"Brisbane","Jan",2014-01-19,20.1,31.8,0,9.6,12.2,26.6,56,4,29.3,51,1
"Perth","Jan",2014-01-19,22.2,38.7,0,13.2,13.1,30.3,32,0,35.8,24,0
"Melbourne","Jan",2014-01-20,17,24.8,0.4,7.8,4.7,20.2,69,7,24,59,NA
"Sydney","Jan",2014-01-20,21.7,25.9,0,4.2,2.8,24.1,71,6,25.1,65,7
"Adelaide","Jan",2014-01-20,15.5,30.2,0,28.2,13.1,20.2,47,NA,29.2,25,NA
"Brisbane","Jan",2014-01-20,20.5,33.5,0,8,12.6,28.3,58,2,31.7,48,1
"Perth","Jan",2014-01-20,20.4,38.3,0,13.4,13.1,26.3,45,0,38,21,0
"Melbourne","Jan",2014-01-21,16.8,23.7,0,7.4,6.3,18,66,7,22.2,43,3
"Sydney","Jan",2014-01-21,19.8,25,5,5,0.6,21.6,79,7,23.9,68,7
"Adelaide","Jan",2014-01-21,14.4,26.8,0,8,13.1,18.7,52,NA,26.2,28,NA
"Brisbane","Jan",2014-01-21,23.6,32.9,0,8.6,12.5,30.2,53,1,31.1,62,1
"Perth","Jan",2014-01-21,20,38,0,15.2,13.2,26.1,49,0,36.7,26,0
"Melbourne","Jan",2014-01-22,16.2,24.3,0,7.2,11.5,18.1,53,5,23.3,37,0
"Sydney","Jan",2014-01-22,19.8,22.8,3,2.8,0,21.8,74,7,22.3,60,7
"Adelaide","Jan",2014-01-22,15.4,28.9,0,7,9.6,18.6,54,NA,27.2,31,NA
"Brisbane","Jan",2014-01-22,25.5,35.3,0,10,8.2,31,55,5,33.4,54,3
"Perth","Jan",2014-01-22,23.8,37.2,0,11,13,29.7,48,1,35.9,29,4
"Melbourne","Jan",2014-01-23,13.6,30.4,0,7.4,12.5,17.3,58,0,25.3,47,1
"Sydney","Jan",2014-01-23,20.2,24.7,0.2,4.4,4.6,22.4,60,5,23.5,54,7
"Adelaide","Jan",2014-01-23,18.6,35.3,0,5.8,5.5,25.6,26,NA,33.3,15,NA
"Brisbane","Jan",2014-01-23,23.9,30.1,2.2,8.4,3.9,26.6,80,6,23.9,89,8
"Perth","Jan",2014-01-23,22.7,36.2,0,12,13.1,28.2,52,1,35.9,29,3
"Melbourne","Jan",2014-01-24,16.9,23,1.2,8.4,4.1,19.7,84,8,21.6,64,5
"Sydney","Jan",2014-01-24,19.7,26.3,0,7.4,1.5,23.9,69,8,26,61,8
"Adelaide","Jan",2014-01-24,20.1,27.3,0.2,6.8,9.1,20.5,76,NA,25.9,46,NA
"Brisbane","Jan",2014-01-24,20.7,29.2,94,10.4,3.6,25.7,79,7,27.8,62,7
"Perth","Jan",2014-01-24,23.2,32.6,0,13.4,9.3,24.6,57,7,31.7,35,2
